c auto-generated SAT problem
p cnf 500 1000
-256 209 478 0
-230 189 194 0
82 162 236 0
29 476 487 0
-178 -163 -70 0
-383 -99 -83 0
-379 223 311 0
-153 96 473 0
233 331 430 0
-396 -221 216 0
-132 -119 304 0
-360 -134 -54 0
-116 253 472 0
-410 -313 54 0
-151 261 455 0
-320 66 331 0
-9 145 491 0
240 249 289 0
376 419 428 0
-186 82 177 0
-264 407 464 0
-261 180 496 0
-266 207 361 0
-305 400 430 0
-419 -217 -163 0
-439 -187 149 0
-223 -13 449 0
-277 45 467 0
-460 -144 -83 0
-414 122 152 0
-373 188 434 0
-187 -174 494 0
-277 311 457 0
243 388 424 0
-268 -47 355 0
-62 178 263 0
-372 -195 259 0
22 84 287 0
-125 61 301 0
-456 -65 471 0
-391 -195 -71 0
-483 24 281 0
-489 -5 294 0
-51 76 155 0
-315 -246 312 0
-46 159 235 0
-467 129 346 0
-93 -67 172 0
-410 -326 478 0
-480 -380 483 0
-348 -101 -67 0
83 176 195 0
-343 86 169 0
-292 -261 464 0
-473 85 268 0
-160 -112 -58 0
-185 52 89 0
-482 -61 226 0
-419 225 499 0
84 213 355 0
-243 -176 423 0
-443 -263 -252 0
-325 172 312 0
-29 299 354 0
-500 -383 196 0
-343 -121 252 0
-322 369 445 0
-200 -106 452 0
-173 -142 286 0
-425 -28 13 0
377 384 459 0
329 467 498 0
-434 -206 47 0
-486 -320 244 0
-395 -68 434 0
-498 -83 99 0
-486 229 377 0
-44 -3 272 0
-130 -38 229 0
-322 -163 171 0
-490 -262 6 0
-357 -223 459 0
123 176 427 0
-444 -386 -267 0
-296 30 356 0
-365 -171 109 0
-87 75 184 0
-137 -24 100 0
-312 125 264 0
-326 -129 -77 0
-416 -287 191 0
-422 -365 -197 0
-426 -405 -314 0
-429 -403 -60 0
18 83 344 0
-268 -17 474 0
-494 -420 361 0
-110 -57 471 0
-287 92 141 0
-386 -195 118 0
-461 -317 -307 0
160 188 437 0
-59 443 485 0
-416 179 388 0
-36 231 381 0
-94 18 450 0
-443 -279 -200 0
-464 -42 345 0
232 416 436 0
-498 -251 79 0
-425 -132 491 0
109 368 415 0
-156 -125 231 0
-464 -411 42 0
1 238 328 0
145 188 254 0
-301 -124 54 0
-303 -80 93 0
-497 -55 332 0
-331 36 273 0
-298 -99 305 0
-285 -35 118 0
-374 -197 323 0
-395 196 471 0
-396 -279 425 0
-173 -162 393 0
-364 -32 103 0
165 449 485 0
-251 48 69 0
-231 57 256 0
272 433 449 0
-417 -267 277 0
80 103 431 0
-253 -195 315 0
-281 -253 103 0
-190 -140 -117 0
-336 -33 104 0
-480 -110 436 0
-434 -311 -306 0
-266 145 179 0
-209 -110 485 0
-495 -391 -202 0
-146 351 443 0
-471 -390 154 0
-237 -93 174 0
-350 458 464 0
-324 -162 334 0
-470 -148 -110 0
-215 -131 18 0
-325 -48 279 0
-115 145 398 0
-147 220 409 0
-240 -68 -8 0
