c auto-generated SAT problem
p cnf 10000 20000
1175 3782 6292 0
-6353 -3749 706 0
-8976 -1897 8097 0
-535 4871 6559 0
2653 4183 8704 0
-5838 -338 689 0
1915 6435 7183 0
-5273 -1436 7733 0
-539 785 8547 0
3401 5984 7471 0
-8458 942 4384 0
-3353 -1363 695 0
-9523 -5246 -2661 0
-1331 -869 4772 0
3084 3741 6044 0
-6496 -3242 -2258 0
-1322 619 7276 0
-8939 1024 1377 0
-8833 -5806 4456 0
-8432 6670 8963 0
-4950 -1652 9415 0
-23 5791 7571 0
-7141 -966 -346 0
-2810 -2010 765 0
-8384 1438 7738 0
-9394 -6556 -6092 0
-4553 1303 9640 0
-9695 8134 9353 0
957 1213 8136 0
-9472 -4166 -638 0
-6383 -4158 3025 0
-8717 -6339 7042 0
-6409 -6173 -4376 0
-9701 -5570 2681 0
-7969 8459 9969 0
-2591 6566 8329 0
-7727 -797 6025 0
4691 9269 9855 0
-9163 65 790 0
-7928 -2216 8503 0
-4127 7364 8037 0
-5722 -843 -417 0
-8992 -8807 4510 0
-3885 1976 9833 0
-9647 -1410 2229 0
-3847 -436 1519 0
-9723 -154 4816 0
-6267 -5441 6886 0
1765 8508 9985 0
-4718 1683 2585 0
1424 4317 4522 0
-3224 -368 9881 0
-6693 -6573 4974 0
-2482 1654 9098 0
-8401 -2671 9643 0
-7294 2304 9237 0
4258 8280 8356 0
-7354 -4107 6647 0
-8986 -7441 5486 0
-6212 7104 9694 0
-4303 2391 9832 0
-9242 -5726 2187 0
412 5929 6541 0
58 1171 8656 0
-8671 -4762 1549 0
-4219 1192 6197 0
-9757 -5066 2318 0
-8067 4983 7764 0
-8777 -6501 -435 0
-3360 1036 6042 0
-2516 -1208 4255 0
-9731 -2188 -999 0
-7079 8833 9608 0
-2585 -818 492 0
-2478 -39 689 0
-9625 8043 9307 0
-8991 5285 6986 0
2022 2357 9987 0
-5457 -2283 517 0
-5386 6011 8257 0
-7237 1913 2364 0
-9155 -1799 6750 0
-9168 -4067 7019 0
-827 2086 6770 0
5379 5907 7929 0
3446 7578 8107 0
-346 9096 9957 0
-5351 1826 5060 0
-9843 -4479 9127 0
232 2073 7065 0
-9651 -2366 1585 0
-5052 -4047 2625 0
-6580 753 7243 0
-6099 -3617 849 0
-7582 4843 6703 0
-8961 7491 8865 0
-6864 6258 6290 0
-7615 -5513 -4412 0
-4672 -4064 8842 0
-7976 -2393 -1072 0
-9758 -7875 -1373 0
-6244 6632 9571 0
6746 9513 9854 0
-8701 4214 8420 0
-6931 -5654 761 0
-9516 -9457 1725 0
-7733 3373 9757 0
-4564 -237 1155 0
-5550 4710 9394 0
-8077 -1823 9029 0
-9088 -6053 -5011 0
-9775 -6228 6986 0
-8263 7084 8597 0
-1429 5143 9939 0
-6486 -1783 3318 0
-9016 240 3802 0
-8765 -3627 1914 0
-9768 -6194 1372 0
-7140 3204 7761 0
-4320 -3727 -3226 0
-5862 -5096 7614 0
-2490 4226 8893 0
-6490 -6154 9772 0
-35 4240 6118 0
-9832 -9713 770 0
-9029 103 6333 0
-9326 -7265 -1406 0
-3374 -1256 6116 0
-8846 1781 6208 0
-3435 -2927 5400 0
-8562 2030 5977 0
-5316 -912 1969 0
-3423 -1852 9989 0
-9678 -4072 967 0
-8628 -3517 6758 0
-4681 -3730 4238 0
-8297 -6762 2571 0
-1397 1565 5075 0
-5211 -3070 1361 0
-8005 -2458 5654 0
1367 2839 3790 0
-9639 -8095 7783 0
-6866 -1217 2327 0
-8899 -1078 9488 0
115 2732 8832 0
-9211 -5470 -4572 0
-60 384 8446 0
-8803 -8789 -956 0
-9891 -7872 -7536 0
-4331 912 5351 0
-6369 -1065 3 0
-5476 1878 5073 0
-1932 -1284 4818 0
-531 -426 1282 0
461 6330 7629 0
-1159 3577 4169 0
-4446 -1605 7464 0
-8620 -1514 6006 0
-2037 -1835 -1628 0
-9166 3903 4164 0
-7014 -4929 2181 0
1234 7206 7241 0
-8675 4398 5298 0
-8189 937 948 0
-4634 9466 9924 0
-9675 -5126 4231 0
-4627 211 9799 0
-2718 -919 8805 0
-3117 -734 2187 0
-8161 -1820 7695 0
-7431 -3314 2353 0
-756 801 6080 0
-9360 4249 4927 0
-6697 7465 8094 0
-9962 -2947 4179 0
-8020 384 5087 0
-9197 2512 5126 0
-7235 -6629 -791 0
289 4333 9208 0
-3858 672 3195 0
-9041 -5470 2627 0
-9032 -4941 -823 0
-7542 -6391 4427 0
-2943 -2008 1611 0
-877 6681 9327 0
-7932 -7404 -4451 0
1241 6828 7407 0
-4975 -4381 6053 0
-3403 -2418 2633 0
-9523 5708 7647 0
-3144 3551 9331 0
-7550 -7203 2700 0
-3535 -1022 6588 0
-3659 6181 9899 0
-9279 -6116 -3674 0
-1408 1171 5242 0
-1159 3529 3755 0
-5187 -4939 7758 0
-3197 -2092 5401 0
1064 2481 4163 0
-7951 -1827 2512 0
-9819 -5794 -2892 0
-8201 -5138 2553 0
-4137 -2000 9430 0
-4019 1422 4505 0
-7447 -4329 8300 0
-2907 3658 6629 0
-6375 641 4414 0
-9240 -2871 -2030 0
-9905 3253 7571 0
-6483 5656 6408 0
-6480 -697 1200 0
-6937 2344 2473 0
-8904 -2498 9370 0
-6550 -1040 9121 0
-9177 -8709 -1946 0
-7919 6718 8844 0
968 3453 5879 0
-2003 4521 9366 0
-2223 1215 9251 0
-8217 -2056 8309 0
-9429 -2563 6329 0
-8026 -6756 -4494 0
-4134 -3271 2056 0
-3765 -1 9203 0
5563 5756 8497 0
-8993 -4969 6888 0
-6227 -3460 481 0
-688 -493 3851 0
-4175 -2670 -2370 0
-7811 -7329 3877 0
-6386 2595 8337 0
-5693 -976 9179 0
-4439 3392 9405 0
-5156 -3880 8537 0
-5358 5645 6186 0
2018 4659 9978 0
2783 5890 8044 0
-4696 1989 4926 0
-1130 7268 9149 0
-6922 -5957 5143 0
-2023 1109 2081 0
-2689 3393 4721 0
-6905 1668 8301 0
1056 2285 9981 0
-9311 2355 6838 0
-9515 -1382 4888 0
-6599 4478 9337 0
-6165 8334 8700 0
-8040 4457 8721 0
-9110 -7350 -2466 0
-9086 -8786 9641 0
-3858 -455 3944 0
-4272 -3544 3635 0
-1411 994 2701 0
-8182 -5632 -2374 0
-5865 4428 9714 0
3047 6057 6859 0
-4592 3531 8211 0
4227 6657 7695 0
-9261 -6891 -4894 0
-9249 -8982 -4468 0
-5301 -4983 8388 0
-7178 234 4005 0
1371 3331 4246 0
-6808 -4982 2566 0
-5979 -2144 6056 0
-2019 448 3977 0
-395 1211 5815 0
-7360 -2038 6333 0
-928 -905 4537 0
-6885 -4335 7226 0
-9857 -1490 9893 0
-6472 -1632 1045 0
-2805 5693 7930 0
-1294 8431 9233 0
-2711 598 6144 0
-686 2876 4205 0
-2720 -1279 8749 0
-9624 -7548 -3178 0
-5030 -1650 5121 0
-2573 -1376 1828 0
-912 5597 5694 0
-6491 -2928 -604 0
2562 4136 6320 0
-5657 920 6361 0
-4606 477 7487 0
-418 6092 7357 0
-4153 818 8435 0
-6741 -4984 -4031 0
-1817 4306 7110 0
-8173 -4269 433 0
1938 3419 3682 0
-6675 -5287 2029 0
-5126 4551 6748 0
-5402 1946 7266 0
-8796 -5929 -5681 0
-656 6319 6876 0
-7391 -3467 7593 0
-4834 -1942 -63 0
1551 3748 9378 0
-4283 -102 4583 0
3770 9136 9478 0
-3408 5497 7615 0
-7838 3355 6997 0
-7886 -6793 2924 0
